[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0QRC3JZ] Replacement of Left Lower Femur with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC3KZ] Replacement of Left Lower Femur with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC47Z] Replacement of Left Lower Femur with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC4JZ] Replacement of Left Lower Femur with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC4KZ] Replacement of Left Lower Femur with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD07Z] Replacement of Right Patella with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD0JZ] Replacement of Right Patella with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD0KZ] Replacement of Right Patella with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD37Z] Replacement of Right Patella with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD3JZ] Replacement of Right Patella with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD3KZ] Replacement of Right Patella with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD47Z] Replacement of Right Patella with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD4JZ] Replacement of Right Patella with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRD4KZ] Replacement of Right Patella with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF07Z] Replacement of Left Patella with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF0JZ] Replacement of Left Patella with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF0KZ] Replacement of Left Patella with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF37Z] Replacement of Left Patella with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF3JZ] Replacement of Left Patella with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF3KZ] Replacement of Left Patella with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF47Z] Replacement of Left Patella with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF4JZ] Replacement of Left Patella with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRF4KZ] Replacement of Left Patella with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG07Z] Replacement of Right Tibia with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG0JZ] Replacement of Right Tibia with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG0KZ] Replacement of Right Tibia with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG37Z] Replacement of Right Tibia with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG3JZ] Replacement of Right Tibia with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG3KZ] Replacement of Right Tibia with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG47Z] Replacement of Right Tibia with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG4JZ] Replacement of Right Tibia with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRG4KZ] Replacement of Right Tibia with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRH07Z] Replacement of Left Tibia with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRH0JZ] Replacement of Left Tibia with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRH0KZ] Replacement of Left Tibia with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRH37Z] Replacement of Left Tibia with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRH3JZ] Replacement of Left Tibia with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRH3KZ] Replacement of Left Tibia with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
