[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0KT64ZZ] Resection of Left Shoulder Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT70ZZ] Resection of Right Upper Arm Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT74ZZ] Resection of Right Upper Arm Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT80ZZ] Resection of Left Upper Arm Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT84ZZ] Resection of Left Upper Arm Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT90ZZ] Resection of Right Lower Arm and Wrist Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT94ZZ] Resection of Right Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTB0ZZ] Resection of Left Lower Arm and Wrist Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTB4ZZ] Resection of Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTC0ZZ] Resection of Right Hand Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTC4ZZ] Resection of Right Hand Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTD0ZZ] Resection of Left Hand Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTD4ZZ] Resection of Left Hand Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTF0ZZ] Resection of Right Trunk Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTF4ZZ] Resection of Right Trunk Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTG0ZZ] Resection of Left Trunk Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTG4ZZ] Resection of Left Trunk Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTH0ZZ] Resection of Right Thorax Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTH4ZZ] Resection of Right Thorax Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTJ0ZZ] Resection of Left Thorax Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTJ4ZZ] Resection of Left Thorax Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTK0ZZ] Resection of Right Abdomen Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTK4ZZ] Resection of Right Abdomen Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTL0ZZ] Resection of Left Abdomen Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTL4ZZ] Resection of Left Abdomen Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTM0ZZ] Resection of Perineum Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTM4ZZ] Resection of Perineum Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTN0ZZ] Resection of Right Hip Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTN4ZZ] Resection of Right Hip Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTP0ZZ] Resection of Left Hip Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTP4ZZ] Resection of Left Hip Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTQ0ZZ] Resection of Right Upper Leg Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTQ4ZZ] Resection of Right Upper Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTR0ZZ] Resection of Left Upper Leg Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTR4ZZ] Resection of Left Upper Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTS0ZZ] Resection of Right Lower Leg Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTS4ZZ] Resection of Right Lower Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTT0ZZ] Resection of Left Lower Leg Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTT4ZZ] Resection of Left Lower Leg Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTV0ZZ] Resection of Right Foot Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTV4ZZ] Resection of Right Foot Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KTW0ZZ] Resection of Left Foot Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KTW4ZZ] Resection of Left Foot Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KU] Muscles, Supplement -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU007Z] Supplement Head Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU00JZ] Supplement Head Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU00KZ] Supplement Head Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU047Z] Supplement Head Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU04JZ] Supplement Head Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU04KZ] Supplement Head Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU107Z] Supplement Facial Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU10JZ] Supplement Facial Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU10KZ] Supplement Facial Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU147Z] Supplement Facial Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU14JZ] Supplement Facial Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU14KZ] Supplement Facial Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU207Z] Supplement Right Neck Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU20JZ] Supplement Right Neck Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU20KZ] Supplement Right Neck Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU247Z] Supplement Right Neck Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0KU24JZ] Supplement Right Neck Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
