[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0DLP0DZ] Occlusion of Rectum with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP0ZZ] Occlusion of Rectum, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP3CZ] Occlusion of Rectum with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP3DZ] Occlusion of Rectum with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP3ZZ] Occlusion of Rectum, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP4CZ] Occlusion of Rectum with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP4DZ] Occlusion of Rectum with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP4ZZ] Occlusion of Rectum, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLP7DZ] Occlusion of Rectum with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLP7ZZ] Occlusion of Rectum, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLP8DZ] Occlusion of Rectum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLP8ZZ] Occlusion of Rectum, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ0CZ] Occlusion of Anus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ0DZ] Occlusion of Anus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ0ZZ] Occlusion of Anus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ3CZ] Occlusion of Anus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ3DZ] Occlusion of Anus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ3ZZ] Occlusion of Anus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ4CZ] Occlusion of Anus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ4DZ] Occlusion of Anus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ4ZZ] Occlusion of Anus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ7DZ] Occlusion of Anus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ7ZZ] Occlusion of Anus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ8DZ] Occlusion of Anus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLQ8ZZ] Occlusion of Anus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLQXCZ] Occlusion of Anus with Extraluminal Device, External Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQXDZ] Occlusion of Anus with Intraluminal Device, External Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLQXZZ] Occlusion of Anus, External Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DM] Gastrointestinal System, Reattachment -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM50ZZ] Reattachment of Esophagus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM54ZZ] Reattachment of Esophagus, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM60ZZ] Reattachment of Stomach, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM64ZZ] Reattachment of Stomach, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM80ZZ] Reattachment of Small Intestine, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM84ZZ] Reattachment of Small Intestine, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM90ZZ] Reattachment of Duodenum, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DM94ZZ] Reattachment of Duodenum, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMA0ZZ] Reattachment of Jejunum, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMA4ZZ] Reattachment of Jejunum, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMB0ZZ] Reattachment of Ileum, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMB4ZZ] Reattachment of Ileum, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DME0ZZ] Reattachment of Large Intestine, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DME4ZZ] Reattachment of Large Intestine, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMF0ZZ] Reattachment of Right Large Intestine, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMF4ZZ] Reattachment of Right Large Intestine, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMG0ZZ] Reattachment of Left Large Intestine, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMG4ZZ] Reattachment of Left Large Intestine, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMH0ZZ] Reattachment of Cecum, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMH4ZZ] Reattachment of Cecum, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMK0ZZ] Reattachment of Ascending Colon, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMK4ZZ] Reattachment of Ascending Colon, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DML0ZZ] Reattachment of Transverse Colon, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DML4ZZ] Reattachment of Transverse Colon, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMM0ZZ] Reattachment of Descending Colon, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMM4ZZ] Reattachment of Descending Colon, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMN0ZZ] Reattachment of Sigmoid Colon, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMN4ZZ] Reattachment of Sigmoid Colon, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMP0ZZ] Reattachment of Rectum, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DMP4ZZ] Reattachment of Rectum, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0DN] Gastrointestinal System, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN10ZZ] Release Upper Esophagus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN13ZZ] Release Upper Esophagus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN14ZZ] Release Upper Esophagus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN17ZZ] Release Upper Esophagus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN18ZZ] Release Upper Esophagus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN20ZZ] Release Middle Esophagus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN23ZZ] Release Middle Esophagus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN24ZZ] Release Middle Esophagus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN27ZZ] Release Middle Esophagus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN28ZZ] Release Middle Esophagus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN30ZZ] Release Lower Esophagus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN33ZZ] Release Lower Esophagus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN34ZZ] Release Lower Esophagus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN37ZZ] Release Lower Esophagus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN38ZZ] Release Lower Esophagus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN40ZZ] Release Esophagogastric Junction, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN43ZZ] Release Esophagogastric Junction, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN44ZZ] Release Esophagogastric Junction, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN47ZZ] Release Esophagogastric Junction, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0DN48ZZ] Release Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
