[02] Heart and Great Vessels -- Body system (Heart and Great Vessels) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[021] Heart and Great Vessels, Bypass -- Altering the route of passage of the contents of a tubular body part
[02LQ4DZ] Occlusion of Right Pulmonary Artery with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ4ZZ] Occlusion of Right Pulmonary Artery, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR0CT] Occlusion of Ductus Arteriosus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR0CZ] Occlusion of Left Pulmonary Artery with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR0DT] Occlusion of Ductus Arteriosus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR0DZ] Occlusion of Left Pulmonary Artery with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR0ZT] Occlusion of Ductus Arteriosus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR0ZZ] Occlusion of Left Pulmonary Artery, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR3CT] Occlusion of Ductus Arteriosus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR3CZ] Occlusion of Left Pulmonary Artery with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR3DT] Occlusion of Ductus Arteriosus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR3DZ] Occlusion of Left Pulmonary Artery with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR3ZT] Occlusion of Ductus Arteriosus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR3ZZ] Occlusion of Left Pulmonary Artery, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR4CT] Occlusion of Ductus Arteriosus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR4CZ] Occlusion of Left Pulmonary Artery with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR4DT] Occlusion of Ductus Arteriosus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR4DZ] Occlusion of Left Pulmonary Artery with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR4ZT] Occlusion of Ductus Arteriosus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LR4ZZ] Occlusion of Left Pulmonary Artery, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS0CZ] Occlusion of Right Pulmonary Vein with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS0DZ] Occlusion of Right Pulmonary Vein with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS0ZZ] Occlusion of Right Pulmonary Vein, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS3CZ] Occlusion of Right Pulmonary Vein with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS3DZ] Occlusion of Right Pulmonary Vein with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS3ZZ] Occlusion of Right Pulmonary Vein, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS4CZ] Occlusion of Right Pulmonary Vein with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS4DZ] Occlusion of Right Pulmonary Vein with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LS4ZZ] Occlusion of Right Pulmonary Vein, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT0CZ] Occlusion of Left Pulmonary Vein with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT0DZ] Occlusion of Left Pulmonary Vein with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT0ZZ] Occlusion of Left Pulmonary Vein, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT3CZ] Occlusion of Left Pulmonary Vein with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT3DZ] Occlusion of Left Pulmonary Vein with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT3ZZ] Occlusion of Left Pulmonary Vein, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT4CZ] Occlusion of Left Pulmonary Vein with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT4DZ] Occlusion of Left Pulmonary Vein with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LT4ZZ] Occlusion of Left Pulmonary Vein, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV0CZ] Occlusion of Superior Vena Cava with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV0DZ] Occlusion of Superior Vena Cava with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV0ZZ] Occlusion of Superior Vena Cava, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV3CZ] Occlusion of Superior Vena Cava with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV3DZ] Occlusion of Superior Vena Cava with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV3ZZ] Occlusion of Superior Vena Cava, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV4CZ] Occlusion of Superior Vena Cava with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV4DZ] Occlusion of Superior Vena Cava with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LV4ZZ] Occlusion of Superior Vena Cava, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LW0DJ] Occlusion of Thoracic Aorta, Descending with Intraluminal Device, Temporary, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LW3DJ] Occlusion of Thoracic Aorta, Descending with Intraluminal Device, Temporary, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
