[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0LR907Z] Replacement of Right Trunk Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR90JZ] Replacement of Right Trunk Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR90KZ] Replacement of Right Trunk Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR947Z] Replacement of Right Trunk Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR94JZ] Replacement of Right Trunk Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR94KZ] Replacement of Right Trunk Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRB07Z] Replacement of Left Trunk Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRB0JZ] Replacement of Left Trunk Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRB0KZ] Replacement of Left Trunk Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRB47Z] Replacement of Left Trunk Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRB4JZ] Replacement of Left Trunk Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRB4KZ] Replacement of Left Trunk Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRC07Z] Replacement of Right Thorax Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRC0JZ] Replacement of Right Thorax Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRC0KZ] Replacement of Right Thorax Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRC47Z] Replacement of Right Thorax Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRC4JZ] Replacement of Right Thorax Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRC4KZ] Replacement of Right Thorax Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRD07Z] Replacement of Left Thorax Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRD0JZ] Replacement of Left Thorax Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRD0KZ] Replacement of Left Thorax Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRD47Z] Replacement of Left Thorax Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRD4JZ] Replacement of Left Thorax Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRD4KZ] Replacement of Left Thorax Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRF07Z] Replacement of Right Abdomen Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRF0JZ] Replacement of Right Abdomen Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRF0KZ] Replacement of Right Abdomen Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRF47Z] Replacement of Right Abdomen Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRF4JZ] Replacement of Right Abdomen Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRF4KZ] Replacement of Right Abdomen Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRG07Z] Replacement of Left Abdomen Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRG0JZ] Replacement of Left Abdomen Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRG0KZ] Replacement of Left Abdomen Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRG47Z] Replacement of Left Abdomen Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRG4JZ] Replacement of Left Abdomen Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRG4KZ] Replacement of Left Abdomen Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRH07Z] Replacement of Perineum Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRH0JZ] Replacement of Perineum Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRH0KZ] Replacement of Perineum Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRH47Z] Replacement of Perineum Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRH4JZ] Replacement of Perineum Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRH4KZ] Replacement of Perineum Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRJ07Z] Replacement of Right Hip Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRJ0JZ] Replacement of Right Hip Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRJ0KZ] Replacement of Right Hip Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRJ47Z] Replacement of Right Hip Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LRJ4JZ] Replacement of Right Hip Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
