[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0BNG8ZZ] Release Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNH0ZZ] Release Lung Lingula, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNH3ZZ] Release Lung Lingula, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNH4ZZ] Release Lung Lingula, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNH7ZZ] Release Lung Lingula, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNH8ZZ] Release Lung Lingula, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNJ0ZZ] Release Left Lower Lung Lobe, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNJ3ZZ] Release Left Lower Lung Lobe, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNJ4ZZ] Release Left Lower Lung Lobe, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNJ7ZZ] Release Left Lower Lung Lobe, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNJ8ZZ] Release Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNK0ZZ] Release Right Lung, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNK3ZZ] Release Right Lung, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNK4ZZ] Release Right Lung, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNK7ZZ] Release Right Lung, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNK8ZZ] Release Right Lung, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNL0ZZ] Release Left Lung, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNL3ZZ] Release Left Lung, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNL4ZZ] Release Left Lung, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNL7ZZ] Release Left Lung, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNL8ZZ] Release Left Lung, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNM0ZZ] Release Bilateral Lungs, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNM3ZZ] Release Bilateral Lungs, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNM4ZZ] Release Bilateral Lungs, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNM7ZZ] Release Bilateral Lungs, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNM8ZZ] Release Bilateral Lungs, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNN0ZZ] Release Right Pleura, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNN3ZZ] Release Right Pleura, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNN4ZZ] Release Right Pleura, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNP0ZZ] Release Left Pleura, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNP3ZZ] Release Left Pleura, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNP4ZZ] Release Left Pleura, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNT0ZZ] Release Diaphragm, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNT3ZZ] Release Diaphragm, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNT4ZZ] Release Diaphragm, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BP] Respiratory System, Removal -- Taking out or off a device from a body part
[0BP000Z] Removal of Drainage Device from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP001Z] Removal of Radioactive Element from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP002Z] Removal of Monitoring Device from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP003Z] Removal of Infusion Device from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP007Z] Removal of Autologous Tissue Substitute from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP00CZ] Removal of Extraluminal Device from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP00DZ] Removal of Intraluminal Device from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP00JZ] Removal of Synthetic Substitute from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP00KZ] Removal of Nonautologous Tissue Substitute from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP00YZ] Removal of Other Device from Tracheobronchial Tree, Open Approach -- Taking out or off a device from a body part
[0BP030Z] Removal of Drainage Device from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP031Z] Removal of Radioactive Element from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP032Z] Removal of Monitoring Device from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP033Z] Removal of Infusion Device from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP037Z] Removal of Autologous Tissue Substitute from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP03CZ] Removal of Extraluminal Device from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP03DZ] Removal of Intraluminal Device from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP03JZ] Removal of Synthetic Substitute from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP03KZ] Removal of Nonautologous Tissue Substitute from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP03YZ] Removal of Other Device from Tracheobronchial Tree, Percutaneous Approach -- Taking out or off a device from a body part
[0BP040Z] Removal of Drainage Device from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP041Z] Removal of Radioactive Element from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP042Z] Removal of Monitoring Device from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP043Z] Removal of Infusion Device from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP047Z] Removal of Autologous Tissue Substitute from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP04CZ] Removal of Extraluminal Device from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP04DZ] Removal of Intraluminal Device from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP04JZ] Removal of Synthetic Substitute from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP04KZ] Removal of Nonautologous Tissue Substitute from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP04YZ] Removal of Other Device from Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP070Z] Removal of Drainage Device from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP071Z] Removal of Radioactive Element from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP072Z] Removal of Monitoring Device from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP073Z] Removal of Infusion Device from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP077Z] Removal of Autologous Tissue Substitute from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP07CZ] Removal of Extraluminal Device from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP07DZ] Removal of Intraluminal Device from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP07JZ] Removal of Synthetic Substitute from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP07KZ] Removal of Nonautologous Tissue Substitute from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP07YZ] Removal of Other Device from Tracheobronchial Tree, Via Natural or Artificial Opening -- Taking out or off a device from a body part
[0BP080Z] Removal of Drainage Device from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP081Z] Removal of Radioactive Element from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP082Z] Removal of Monitoring Device from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP083Z] Removal of Infusion Device from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP087Z] Removal of Autologous Tissue Substitute from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP08CZ] Removal of Extraluminal Device from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP08DZ] Removal of Intraluminal Device from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP08JZ] Removal of Synthetic Substitute from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP08KZ] Removal of Nonautologous Tissue Substitute from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP08YZ] Removal of Other Device from Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Taking out or off a device from a body part
[0BP0X0Z] Removal of Drainage Device from Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part
[0BP0X1Z] Removal of Radioactive Element from Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part
[0BP0X2Z] Removal of Monitoring Device from Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part
[0BP0X3Z] Removal of Infusion Device from Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part
[0BP0XDZ] Removal of Intraluminal Device from Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part
[0BP100Z] Removal of Drainage Device from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP102Z] Removal of Monitoring Device from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP107Z] Removal of Autologous Tissue Substitute from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP10CZ] Removal of Extraluminal Device from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP10DZ] Removal of Intraluminal Device from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP10FZ] Removal of Tracheostomy Device from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP10JZ] Removal of Synthetic Substitute from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP10KZ] Removal of Nonautologous Tissue Substitute from Trachea, Open Approach -- Taking out or off a device from a body part
[0BP130Z] Removal of Drainage Device from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP132Z] Removal of Monitoring Device from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP137Z] Removal of Autologous Tissue Substitute from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP13CZ] Removal of Extraluminal Device from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP13DZ] Removal of Intraluminal Device from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP13FZ] Removal of Tracheostomy Device from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP13JZ] Removal of Synthetic Substitute from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP13KZ] Removal of Nonautologous Tissue Substitute from Trachea, Percutaneous Approach -- Taking out or off a device from a body part
[0BP140Z] Removal of Drainage Device from Trachea, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP142Z] Removal of Monitoring Device from Trachea, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP147Z] Removal of Autologous Tissue Substitute from Trachea, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP14CZ] Removal of Extraluminal Device from Trachea, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0BP14DZ] Removal of Intraluminal Device from Trachea, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
