[0N] Head and Facial Bones -- Body system (Head and Facial Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0N2] Head and Facial Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20X0Z] Change Drainage Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20XYZ] Change Other Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BX0Z] Change Drainage Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BXYZ] Change Other Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WX0Z] Change Drainage Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WXYZ] Change Other Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N5] Head and Facial Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0NRV3JZ] Replacement of Left Mandible with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV3KZ] Replacement of Left Mandible with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV47Z] Replacement of Left Mandible with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV4JZ] Replacement of Left Mandible with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV4KZ] Replacement of Left Mandible with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX07Z] Replacement of Hyoid Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX0JZ] Replacement of Hyoid Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX0KZ] Replacement of Hyoid Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX37Z] Replacement of Hyoid Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX3JZ] Replacement of Hyoid Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX3KZ] Replacement of Hyoid Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX47Z] Replacement of Hyoid Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX4JZ] Replacement of Hyoid Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRX4KZ] Replacement of Hyoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NS] Head and Facial Bones, Reposition -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS004Z] Reposition Skull with Internal Fixation Device, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS005Z] Reposition Skull with External Fixation Device, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS00ZZ] Reposition Skull, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS034Z] Reposition Skull with Internal Fixation Device, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS035Z] Reposition Skull with External Fixation Device, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS03ZZ] Reposition Skull, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS044Z] Reposition Skull with Internal Fixation Device, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS045Z] Reposition Skull with External Fixation Device, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS04ZZ] Reposition Skull, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS0XZZ] Reposition Skull, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS104Z] Reposition Frontal Bone with Internal Fixation Device, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS10ZZ] Reposition Frontal Bone, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS134Z] Reposition Frontal Bone with Internal Fixation Device, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS13ZZ] Reposition Frontal Bone, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS144Z] Reposition Frontal Bone with Internal Fixation Device, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS14ZZ] Reposition Frontal Bone, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS1XZZ] Reposition Frontal Bone, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS304Z] Reposition Right Parietal Bone with Internal Fixation Device, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS30ZZ] Reposition Right Parietal Bone, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS334Z] Reposition Right Parietal Bone with Internal Fixation Device, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS33ZZ] Reposition Right Parietal Bone, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS344Z] Reposition Right Parietal Bone with Internal Fixation Device, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS34ZZ] Reposition Right Parietal Bone, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS3XZZ] Reposition Right Parietal Bone, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS404Z] Reposition Left Parietal Bone with Internal Fixation Device, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS40ZZ] Reposition Left Parietal Bone, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS434Z] Reposition Left Parietal Bone with Internal Fixation Device, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS43ZZ] Reposition Left Parietal Bone, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS444Z] Reposition Left Parietal Bone with Internal Fixation Device, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0NS44ZZ] Reposition Left Parietal Bone, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
