[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0FN23ZZ] Release Left Lobe Liver, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN24ZZ] Release Left Lobe Liver, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN40ZZ] Release Gallbladder, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN43ZZ] Release Gallbladder, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN44ZZ] Release Gallbladder, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN48ZZ] Release Gallbladder, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN50ZZ] Release Right Hepatic Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN53ZZ] Release Right Hepatic Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN54ZZ] Release Right Hepatic Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN57ZZ] Release Right Hepatic Duct, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN58ZZ] Release Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN60ZZ] Release Left Hepatic Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN63ZZ] Release Left Hepatic Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN64ZZ] Release Left Hepatic Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN67ZZ] Release Left Hepatic Duct, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN68ZZ] Release Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN70ZZ] Release Common Hepatic Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN73ZZ] Release Common Hepatic Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN74ZZ] Release Common Hepatic Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN77ZZ] Release Common Hepatic Duct, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN78ZZ] Release Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN80ZZ] Release Cystic Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN83ZZ] Release Cystic Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN84ZZ] Release Cystic Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN87ZZ] Release Cystic Duct, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN88ZZ] Release Cystic Duct, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN90ZZ] Release Common Bile Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN93ZZ] Release Common Bile Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN94ZZ] Release Common Bile Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN97ZZ] Release Common Bile Duct, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN98ZZ] Release Common Bile Duct, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNC0ZZ] Release Ampulla of Vater, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNC3ZZ] Release Ampulla of Vater, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNC4ZZ] Release Ampulla of Vater, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNC7ZZ] Release Ampulla of Vater, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNC8ZZ] Release Ampulla of Vater, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FND0ZZ] Release Pancreatic Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FND3ZZ] Release Pancreatic Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FND4ZZ] Release Pancreatic Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FND7ZZ] Release Pancreatic Duct, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FND8ZZ] Release Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNF0ZZ] Release Accessory Pancreatic Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNF3ZZ] Release Accessory Pancreatic Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNF4ZZ] Release Accessory Pancreatic Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNF7ZZ] Release Accessory Pancreatic Duct, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNF8ZZ] Release Accessory Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNG0ZZ] Release Pancreas, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNG3ZZ] Release Pancreas, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNG4ZZ] Release Pancreas, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FNG8ZZ] Release Pancreas, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FP] Hepatobiliary System and Pancreas, Removal -- Taking out or off a device from a body part
[0FP000Z] Removal of Drainage Device from Liver, Open Approach -- Taking out or off a device from a body part
[0FP002Z] Removal of Monitoring Device from Liver, Open Approach -- Taking out or off a device from a body part
[0FP003Z] Removal of Infusion Device from Liver, Open Approach -- Taking out or off a device from a body part
[0FP00YZ] Removal of Other Device from Liver, Open Approach -- Taking out or off a device from a body part
[0FP030Z] Removal of Drainage Device from Liver, Percutaneous Approach -- Taking out or off a device from a body part
[0FP032Z] Removal of Monitoring Device from Liver, Percutaneous Approach -- Taking out or off a device from a body part
[0FP033Z] Removal of Infusion Device from Liver, Percutaneous Approach -- Taking out or off a device from a body part
[0FP03YZ] Removal of Other Device from Liver, Percutaneous Approach -- Taking out or off a device from a body part
[0FP040Z] Removal of Drainage Device from Liver, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0FP042Z] Removal of Monitoring Device from Liver, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0FP043Z] Removal of Infusion Device from Liver, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0FP04YZ] Removal of Other Device from Liver, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0FP0X0Z] Removal of Drainage Device from Liver, External Approach -- Taking out or off a device from a body part
[0FP0X2Z] Removal of Monitoring Device from Liver, External Approach -- Taking out or off a device from a body part
[0FP0X3Z] Removal of Infusion Device from Liver, External Approach -- Taking out or off a device from a body part
[0FP400Z] Removal of Drainage Device from Gallbladder, Open Approach -- Taking out or off a device from a body part
[0FP402Z] Removal of Monitoring Device from Gallbladder, Open Approach -- Taking out or off a device from a body part
[0FP403Z] Removal of Infusion Device from Gallbladder, Open Approach -- Taking out or off a device from a body part
[0FP40DZ] Removal of Intraluminal Device from Gallbladder, Open Approach -- Taking out or off a device from a body part
[0FP40YZ] Removal of Other Device from Gallbladder, Open Approach -- Taking out or off a device from a body part
[0FP430Z] Removal of Drainage Device from Gallbladder, Percutaneous Approach -- Taking out or off a device from a body part
[0FP432Z] Removal of Monitoring Device from Gallbladder, Percutaneous Approach -- Taking out or off a device from a body part
[0FP433Z] Removal of Infusion Device from Gallbladder, Percutaneous Approach -- Taking out or off a device from a body part
