[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07PL03Z] Removal of Infusion Device from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
[07PL07Z] Removal of Autologous Tissue Substitute from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
[07PL0CZ] Removal of Extraluminal Device from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
[07PL0DZ] Removal of Intraluminal Device from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
[07PL0JZ] Removal of Synthetic Substitute from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
[07PL0KZ] Removal of Nonautologous Tissue Substitute from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
[07PL0YZ] Removal of Other Device from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
[07PL30Z] Removal of Drainage Device from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL33Z] Removal of Infusion Device from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL37Z] Removal of Autologous Tissue Substitute from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL3CZ] Removal of Extraluminal Device from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL3DZ] Removal of Intraluminal Device from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL3JZ] Removal of Synthetic Substitute from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL3KZ] Removal of Nonautologous Tissue Substitute from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL3YZ] Removal of Other Device from Cisterna Chyli, Percutaneous Approach -- Taking out or off a device from a body part
[07PL40Z] Removal of Drainage Device from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PL43Z] Removal of Infusion Device from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PL47Z] Removal of Autologous Tissue Substitute from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PL4CZ] Removal of Extraluminal Device from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PL4DZ] Removal of Intraluminal Device from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PL4JZ] Removal of Synthetic Substitute from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PL4KZ] Removal of Nonautologous Tissue Substitute from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PL4YZ] Removal of Other Device from Cisterna Chyli, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PLX0Z] Removal of Drainage Device from Cisterna Chyli, External Approach -- Taking out or off a device from a body part
[07PLX3Z] Removal of Infusion Device from Cisterna Chyli, External Approach -- Taking out or off a device from a body part
[07PLXDZ] Removal of Intraluminal Device from Cisterna Chyli, External Approach -- Taking out or off a device from a body part
[07PM00Z] Removal of Drainage Device from Thymus, Open Approach -- Taking out or off a device from a body part
[07PM03Z] Removal of Infusion Device from Thymus, Open Approach -- Taking out or off a device from a body part
[07PM0YZ] Removal of Other Device from Thymus, Open Approach -- Taking out or off a device from a body part
[07PM30Z] Removal of Drainage Device from Thymus, Percutaneous Approach -- Taking out or off a device from a body part
[07PM33Z] Removal of Infusion Device from Thymus, Percutaneous Approach -- Taking out or off a device from a body part
[07PM3YZ] Removal of Other Device from Thymus, Percutaneous Approach -- Taking out or off a device from a body part
[07PM40Z] Removal of Drainage Device from Thymus, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PM43Z] Removal of Infusion Device from Thymus, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PM4YZ] Removal of Other Device from Thymus, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PMX0Z] Removal of Drainage Device from Thymus, External Approach -- Taking out or off a device from a body part
[07PMX3Z] Removal of Infusion Device from Thymus, External Approach -- Taking out or off a device from a body part
[07PN00Z] Removal of Drainage Device from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN03Z] Removal of Infusion Device from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN07Z] Removal of Autologous Tissue Substitute from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN0CZ] Removal of Extraluminal Device from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN0DZ] Removal of Intraluminal Device from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN0JZ] Removal of Synthetic Substitute from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN0KZ] Removal of Nonautologous Tissue Substitute from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN0YZ] Removal of Other Device from Lymphatic, Open Approach -- Taking out or off a device from a body part
[07PN30Z] Removal of Drainage Device from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN33Z] Removal of Infusion Device from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN37Z] Removal of Autologous Tissue Substitute from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN3CZ] Removal of Extraluminal Device from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN3DZ] Removal of Intraluminal Device from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN3JZ] Removal of Synthetic Substitute from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN3KZ] Removal of Nonautologous Tissue Substitute from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN3YZ] Removal of Other Device from Lymphatic, Percutaneous Approach -- Taking out or off a device from a body part
[07PN40Z] Removal of Drainage Device from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PN43Z] Removal of Infusion Device from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PN47Z] Removal of Autologous Tissue Substitute from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PN4CZ] Removal of Extraluminal Device from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PN4DZ] Removal of Intraluminal Device from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PN4JZ] Removal of Synthetic Substitute from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PN4KZ] Removal of Nonautologous Tissue Substitute from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PN4YZ] Removal of Other Device from Lymphatic, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PNX0Z] Removal of Drainage Device from Lymphatic, External Approach -- Taking out or off a device from a body part
[07PNX3Z] Removal of Infusion Device from Lymphatic, External Approach -- Taking out or off a device from a body part
[07PNXDZ] Removal of Intraluminal Device from Lymphatic, External Approach -- Taking out or off a device from a body part
[07PP00Z] Removal of Drainage Device from Spleen, Open Approach -- Taking out or off a device from a body part
[07PP03Z] Removal of Infusion Device from Spleen, Open Approach -- Taking out or off a device from a body part
[07PP0YZ] Removal of Other Device from Spleen, Open Approach -- Taking out or off a device from a body part
[07PP30Z] Removal of Drainage Device from Spleen, Percutaneous Approach -- Taking out or off a device from a body part
[07PP33Z] Removal of Infusion Device from Spleen, Percutaneous Approach -- Taking out or off a device from a body part
[07PP3YZ] Removal of Other Device from Spleen, Percutaneous Approach -- Taking out or off a device from a body part
[07PP40Z] Removal of Drainage Device from Spleen, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PP43Z] Removal of Infusion Device from Spleen, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PP4YZ] Removal of Other Device from Spleen, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PPX0Z] Removal of Drainage Device from Spleen, External Approach -- Taking out or off a device from a body part
[07PPX3Z] Removal of Infusion Device from Spleen, External Approach -- Taking out or off a device from a body part
[07PT00Z] Removal of Drainage Device from Bone Marrow, Open Approach -- Taking out or off a device from a body part
[07PT30Z] Removal of Drainage Device from Bone Marrow, Percutaneous Approach -- Taking out or off a device from a body part
[07PT40Z] Removal of Drainage Device from Bone Marrow, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PTX0Z] Removal of Drainage Device from Bone Marrow, External Approach -- Taking out or off a device from a body part
[07Q] Lymphatic and Hemic Systems, Repair -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q00ZZ] Repair Head Lymphatic, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q03ZZ] Repair Head Lymphatic, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q04ZZ] Repair Head Lymphatic, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q08ZZ] Repair Head Lymphatic, Via Natural or Artificial Opening Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q10ZZ] Repair Right Neck Lymphatic, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q13ZZ] Repair Right Neck Lymphatic, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q14ZZ] Repair Right Neck Lymphatic, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q18ZZ] Repair Right Neck Lymphatic, Via Natural or Artificial Opening Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q20ZZ] Repair Left Neck Lymphatic, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q23ZZ] Repair Left Neck Lymphatic, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q24ZZ] Repair Left Neck Lymphatic, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q28ZZ] Repair Left Neck Lymphatic, Via Natural or Artificial Opening Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q30ZZ] Repair Right Upper Extremity Lymphatic, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q33ZZ] Repair Right Upper Extremity Lymphatic, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[07Q34ZZ] Repair Right Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
