[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0MR14KZ] Replacement of Right Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR207Z] Replacement of Left Shoulder Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR20JZ] Replacement of Left Shoulder Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR20KZ] Replacement of Left Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR247Z] Replacement of Left Shoulder Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR24JZ] Replacement of Left Shoulder Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR24KZ] Replacement of Left Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR307Z] Replacement of Right Elbow Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR30JZ] Replacement of Right Elbow Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR30KZ] Replacement of Right Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR347Z] Replacement of Right Elbow Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR34JZ] Replacement of Right Elbow Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR34KZ] Replacement of Right Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR407Z] Replacement of Left Elbow Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR40JZ] Replacement of Left Elbow Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR40KZ] Replacement of Left Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR447Z] Replacement of Left Elbow Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR44JZ] Replacement of Left Elbow Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR44KZ] Replacement of Left Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR507Z] Replacement of Right Wrist Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR50JZ] Replacement of Right Wrist Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR50KZ] Replacement of Right Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR547Z] Replacement of Right Wrist Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR54JZ] Replacement of Right Wrist Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR54KZ] Replacement of Right Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR607Z] Replacement of Left Wrist Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR60JZ] Replacement of Left Wrist Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR60KZ] Replacement of Left Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR647Z] Replacement of Left Wrist Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR64JZ] Replacement of Left Wrist Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR64KZ] Replacement of Left Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR707Z] Replacement of Right Hand Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR70JZ] Replacement of Right Hand Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR70KZ] Replacement of Right Hand Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR747Z] Replacement of Right Hand Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR74JZ] Replacement of Right Hand Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR74KZ] Replacement of Right Hand Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR807Z] Replacement of Left Hand Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR80JZ] Replacement of Left Hand Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR80KZ] Replacement of Left Hand Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR847Z] Replacement of Left Hand Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR84JZ] Replacement of Left Hand Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR84KZ] Replacement of Left Hand Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR907Z] Replacement of Right Upper Extremity Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR90JZ] Replacement of Right Upper Extremity Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR90KZ] Replacement of Right Upper Extremity Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR947Z] Replacement of Right Upper Extremity Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR94JZ] Replacement of Right Upper Extremity Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR94KZ] Replacement of Right Upper Extremity Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
